silt__total,prediction
17.0,-0.1015966743363668
18.0,-0.1018397188261541
19.0,-0.10183515783716564
20.0,-0.12386384306354446
21.0,-0.1304613634451457
22.0,-0.13037938097692706
23.0,-0.12961030770552626
24.0,-0.12886165545676284
25.0,-0.13008870480753976
26.0,-0.016190554075199176
27.0,-0.02761548233590752
28.0,-0.030632546270976675
29.0,-0.03535478536398389
30.0,-0.036166846882139406
31.0,-0.036782010891315976
32.0,-0.03593498057534168
33.0,-0.03598457268786908
